"city","state","name"
"1415",14,"Mariquina (Huellelhue)"
"1416",14,"Mariquina (Pichoy)"
"1417",14,"Mariquina (Mehuin)"
"1418",14,"Mafil (Folilco)"
"1419",14,"Lanco (Malalhue)"
"1420",14,"Lanco (Cayumapu)"
"1421",14,"Mariquina (Pelchuquin)"
"1422",14,"Valdivia (Playa Rosada)"
"1423",14,"Los Lagos (Reumen)"
"1424",14,"Futrono (Bahia Coique)"
"1425",14,"Paillaco (Pichirropulli)"
"1426",14,"Panguipulli (Melefquen)"
"1427",14,"Panguipulli (Rinihue)"
"1428",14,"Mariquina (Antilhue)"
"1429",14,"Panguipulli (Choshuenco)"
"1430",14,"Panguipulli (Neltume)"
"1501",15,"Arica"
"1502",15,"Camarones"
"1503",15,"General Lagos"
"1504",15,"Putre"
